"dataset","description","version"
"aalbimanus_eg_gene","Anopheles albimanus genes (AalbS2)","AalbS2"
"aalbopictus_eg_gene","Aedes albopictus genes (AaloF1)","AaloF1"
"aalvpagwg_eg_gene","Aedes aegypti (LVP_AGWG) genes (AaegL5)","AaegL5"
"aarabiensis_eg_gene","Anopheles arabiensis genes (AaraD1)","AaraD1"
"aatroparvus_eg_gene","Anopheles atroparvus genes (AatrE3)","AatrE3"
"acephalotes_eg_gene","Atta cephalotes genes (Attacep1.0)","Attacep1.0"
"achristyi_eg_gene","Anopheles christyi genes (AchrA1)","AchrA1"
"acngousso_eg_gene","Anopheles coluzzii (Ngousso) genes (AcolN1)","AcolN1"
"acoluzzii_eg_gene","Anopheles coluzzii genes (AcolM1)","AcolM1"
"aculicifacies_eg_gene","Anopheles culicifacies genes (AculA1)","AculA1"
"adarlingi_eg_gene","Anopheles darlingi genes (AdarC3)","AdarC3"
"adirus_eg_gene","Anopheles dirus genes (AdirW1)","AdirW1"
"aepiroticus_eg_gene","Anopheles epiroticus genes (AepiE1)","AepiE1"
"afarauti_eg_gene","Anopheles farauti genes (AfarF2)","AfarF2"
"afunestus_eg_gene","Anopheles funestus genes (AfunF3)","AfunF3"
"agambiae_eg_gene","Anopheles gambiae genes (AgamP4)","AgamP4"
"aglabripennis_eg_gene","Anoplophora glabripennis (ALB-LARVAE) genes (Agla_2.0)","Agla_2.0"
"amaculatus_eg_gene","Anopheles maculatus genes (AmacM1)","AmacM1"
"amelas_eg_gene","Anopheles melas genes (AmelC2)","AmelC2"
"amellifera_eg_gene","Apis mellifera (DH4) genes (Amel_HAv3.1)","Amel_HAv3.1"
"amerus_eg_gene","Anopheles merus genes (AmerM2)","AmerM2"
"aminimus_eg_gene","Anopheles minimus genes (AminM1)","AminM1"
"apisum_eg_gene","Acyrthosiphon pisum (AL4f) genes (pea_aphid_22Mar2018_4r6ur)","pea_aphid_22Mar2018_4r6ur"
"aquadriannulatus_eg_gene","Anopheles quadriannulatus genes (AquaS1)","AquaS1"
"aqueenslandica_eg_gene","Amphimedon queenslandica genes (Aqu1)","Aqu1"
"aschina_eg_gene","Anopheles sinensis (China) genes (AsinC2)","AsinC2"
"asindian_eg_gene","Anopheles stephensi (Indian) genes (AsteI2)","AsteI2"
"asinensis_eg_gene","Anopheles sinensis genes (AsinS2)","AsinS2"
"astephensi_eg_gene","Anopheles stephensi genes (AsteS1)","AsteS1"
"asuum_eg_gene","Ascaris suum (PRJNA62057) genes (ASM18702v3)","ASM18702v3"
"avaga_eg_gene","Adineta vaga genes (AMS_PRJEB1171_v1)","AMS_PRJEB1171_v1"
"bantarctica_eg_gene","Belgica antarctica genes (ASM77530v1)","ASM77530v1"
"bglabrata_eg_gene","Biomphalaria glabrata genes (BglaB1)","BglaB1"
"bimpatiens_eg_gene","Bombus impatiens genes (BIMP_2.2)","BIMP_2.2"
"blanceolatum_eg_gene","Branchiostoma lanceolatum genes (BraLan2)","BraLan2"
"bmalayi_eg_gene","Brugia malayi (PRJNA10729) genes (Bmal-4.0)","Bmal-4.0"
"bmori_eg_gene","Bombyx mori (p50T) genes (Bmori_2016v1.0)","Bmori_2016v1.0"
"btasiaii5_eg_gene","Bemisia tabaci (ASIAII-5) genes (ASIAII5_n227_616Mb)","ASIAII5_n227_616Mb"
"bterrestris_eg_gene","Bombus terrestris genes (Bter_1.0)","Bter_1.0"
"btssa1nig_eg_gene","Bemisia tabaci (SSA1-SG1 NG) genes (SSA1SG1_Nigeria_n4493_656Mb)","SSA1SG1_Nigeria_n4493_656Mb"
"btssa1ug_eg_gene","Bemisia tabaci (SSA1-SG1 UG) genes (SSA1_SG1_Uganda_n955_657Mb)","SSA1_SG1_Uganda_n955_657Mb"
"btssa2nig_eg_gene","Bemisia tabaci (SSA2 NG) genes (SSA2_Nigeria_n785_625mb)","SSA2_Nigeria_n785_625mb"
"btssa3nig_eg_gene","Bemisia tabaci (SSA3 NG) genes (SSA3_Nigeria_2278n_648mb)","SSA3_Nigeria_2278n_648mb"
"btsweetpotug_eg_gene","Bemisia tabaci (Uganda 1) genes (Uganda1_n5713_630Mb)","Uganda1_n5713_630Mb"
"cbrenneri_eg_gene","Caenorhabditis brenneri (PRJNA20035) genes (C_brenneri-6.0.1b)","C_brenneri-6.0.1b"
"cbriggsae_eg_gene","Caenorhabditis briggsae (PRJNA10731) genes (CB4)","CB4"
"celegans_eg_gene","Caenorhabditis elegans (PRJNA13758) genes (WBcel235)","WBcel235"
"cgigas_eg_gene","Crassostrea gigas genes (oyster_v9)","oyster_v9"
"cjaponica_eg_gene","Caenorhabditis japonica (PRJNA12591) genes (C_japonica-7.0.1)","C_japonica-7.0.1"
"clectularius_eg_gene","Cimex lectularius (Harlan) genes (Clec_2.0)","Clec_2.0"
"cquinquefasciatus_eg_gene","Culex quinquefasciatus genes (CpipJ2)","CpipJ2"
"cremanei_eg_gene","Caenorhabditis remanei (PRJNA53967) genes (C_remanei-15.0.1)","C_remanei-15.0.1"
"csonorensis_eg_gene","Culicoides sonorensis genes (Cson1)","Cson1"
"cteleta_eg_gene","Capitella teleta genes (Capitella teleta v1.0)","Capitella teleta v1.0"
"dananassae_eg_gene","Drosophila ananassae (TSC#14024-0371.13) genes (dana_caf1)","dana_caf1"
"derecta_eg_gene","Drosophila erecta (TSC#14021-0224.01) genes (dere_caf1)","dere_caf1"
"dgrimshawi_eg_gene","Drosophila grimshawi (TSC#15287-2541.00) genes (dgri_caf1)","dgri_caf1"
"dmagna_eg_gene","Daphnia magna genes (daphmag2.4)","daphmag2.4"
"dmelanogaster_eg_gene","Drosophila melanogaster genes (BDGP6.32)","BDGP6.32"
"dmojavensis_eg_gene","Drosophila mojavensis (TSC#15081-1352.22) genes (dmoj_caf1)","dmoj_caf1"
"dpersimilis_eg_gene","Drosophila persimilis (MSH-3) genes (dper_caf1)","dper_caf1"
"dplexippus_eg_gene","Danaus plexippus plexippus (F-2) genes (Dplex_v4)","Dplex_v4"
"dponderosae_eg_gene","Dendroctonus ponderosae genes (DendPond_male_1.0)","DendPond_male_1.0"
"dpseudoobscura_eg_gene","Drosophila pseudoobscura pseudoobscura (MV2-25) genes (Dpse_3.0)","Dpse_3.0"
"dpulex_eg_gene","Daphnia pulex genes (V1.0)","V1.0"
"dsechellia_eg_gene","Drosophila sechellia (Rob3c) genes (dsec_caf1)","dsec_caf1"
"dsimulans_eg_gene","Drosophila simulans (w501) genes (ASM75419v3)","ASM75419v3"
"dtinctorium_eg_gene","Dinothrombium tinctorium genes (DtinU1)","DtinU1"
"dvirilis_eg_gene","Drosophila virilis (TSC#15010-1051.87) genes (dvir_caf1)","dvir_caf1"
"dwillistoni_eg_gene","Drosophila willistoni (TSC#14030-0811.24) genes (dwil_caf1)","dwil_caf1"
"dyakuba_eg_gene","Drosophila yakuba (Tai18E2) genes (dyak_caf1)","dyak_caf1"
"fcandida_eg_gene","Folsomia candida str. VU population genes (ASM221717v1)","ASM221717v1"
"gausteni_eg_gene","Glossina austeni genes (GausT1)","GausT1"
"gbrevipalpis_eg_gene","Glossina brevipalpis genes (GbreI1)","GbreI1"
"gfuscipes_eg_gene","Glossina fuscipes (IAEA_lab_2018) genes (Yale_Gfus_2)","Yale_Gfus_2"
"gmorsitans_eg_gene","Glossina morsitans genes (GmorY1)","GmorY1"
"gpallidipes_eg_gene","Glossina pallidipes genes (GpalI1)","GpalI1"
"gpalpalis_eg_gene","Glossina palpalis genes (GpapI1)","GpapI1"
"hmelpomene_eg_gene","Heliconius melpomene genes (Hmel1)","Hmel1"
"hmiamia_eg_gene","Hofstenia miamia genes (HmiaM1)","HmiaM1"
"hmicrostoma_eg_gene","Hymenolepis microstoma (PRJEB124) genes (HMN_v3)","HMN_v3"
"hrobusta_eg_gene","Helobdella robusta genes (Helro1)","Helro1"
"iscapularis_eg_gene","Ixodes scapularis genes (IscaW1)","IscaW1"
"isise6_eg_gene","Ixodes scapularis (ISE6) genes (IscaI1)","IscaI1"
"lanatina_eg_gene","Lingula anatina genes (LinAna1.0)","LinAna1.0"
"lcuprina_eg_gene","Lucilia cuprina genes (ASM118794v1)","ASM118794v1"
"ldeliense_eg_gene","Leptotrombidium deliense genes (LdelU1)","LdelU1"
"lgigantea_eg_gene","Lottia gigantea genes (Lotgi1)","Lotgi1"
"lloa_eg_gene","Loa loa genes (Loa_loa_V3)","Loa_loa_V3"
"llongipalpis_eg_gene","Lutzomyia longipalpis genes (LlonJ1)","LlonJ1"
"lsalmonis_eg_gene","Lepeophtheirus salmonis genes (LSalAtl2s)","LSalAtl2s"
"mcinxia_eg_gene","Melitaea cinxia genes (MelCinx1.0)","MelCinx1.0"
"mdestructor_eg_gene","Mayetiola destructor genes (Mdes_1.0)","Mdes_1.0"
"mdomestica_eg_gene","Musca domestica genes (MdomA1)","MdomA1"
"mleidyi_eg_gene","Mnemiopsis leidyi genes (MneLei_Aug2011)","MneLei_Aug2011"
"mscalaris_eg_gene","Megaselia scalaris genes (Msca1)","Msca1"
"namericanus_eg_gene","Necator americanus (PRJNA72135) genes (N_americanus_v1)","N_americanus_v1"
