"dataset","description","version"
"aalpina_eg_gene","Arabis alpina genes (A_alpina_V4)","A_alpina_V4"
"achinensis_eg_gene","Actinidia chinensis genes (Red5_PS1_1.69.0)","Red5_PS1_1.69.0"
"acomosus_eg_gene","Ananas comosus genes (F153)","F153"
"ahalleri_eg_gene","Arabidopsis halleri genes (Ahal2.2)","Ahal2.2"
"alyrata_eg_gene","Arabidopsis lyrata genes (v.1.0)","v.1.0"
"aofficinalis_eg_gene","Asparagus officinalis genes (Aspof.V1)","Aspof.V1"
"atauschii_eg_gene","Aegilops tauschii genes (Aet v4.0)","Aet v4.0"
"athaliana_eg_gene","Arabidopsis thaliana genes (TAIR10)","TAIR10"
"atrichopoda_eg_gene","Amborella trichopoda genes (AMTR1.0)","AMTR1.0"
"bdistachyon_eg_gene","Brachypodium distachyon genes (Brachypodium_distachyon_v3.0)","Brachypodium_distachyon_v3.0"
"bnapus_eg_gene","Brassica napus genes (AST_PRJEB5043_v1)","AST_PRJEB5043_v1"
"boleracea_eg_gene","Brassica oleracea genes (BOL)","BOL"
"brapa_eg_gene","Brassica rapa genes (Brapa_1.0)","Brapa_1.0"
"brro18_eg_gene","Brassica rapa R-o-18 genes (SCU_BraROA_2.3)","SCU_BraROA_2.3"
"bvulgaris_eg_gene","Beta vulgaris genes (RefBeet-1.2.2)","RefBeet-1.2.2"
"cannuum_eg_gene","Capsicum annuum genes (ASM51225v2)","ASM51225v2"
"cavellana_eg_gene","Corylus avellana genes (CavTom2PMs-1.0)","CavTom2PMs-1.0"
"cbraunii_eg_gene","Chara braunii genes (Cbr_1.0)","Cbr_1.0"
"ccanephora_eg_gene","Coffea canephora genes (AUK_PRJEB4211_v1)","AUK_PRJEB4211_v1"
"ccapsularis_eg_gene","Corchorus capsularis genes (CCACVL1_1.0)","CCACVL1_1.0"
"ccardunculus_eg_gene","Cynara cardunculus genes (CcrdV1)","CcrdV1"
"ccitriodora_eg_gene","Corymbia citriodora genes (Ccitriodora_v2_1)","Ccitriodora_v2_1"
"cclementina_eg_gene","Citrus clementina genes (Citrus_clementina_v1.0)","Citrus_clementina_v1.0"
"ccrispus_eg_gene","Chondrus crispus genes (ASM35022v2)","ASM35022v2"
"clanatus_eg_gene","Citrullus lanatus genes (Cla97_v1)","Cla97_v1"
"cmelo_eg_gene","Cucumis melo genes (Melonv4)","Melonv4"
"cmerolae_eg_gene","Cyanidioschyzon merolae genes (ASM9120v1)","ASM9120v1"
"cquinoa_eg_gene","Chenopodium quinoa genes (ASM168347v1)","ASM168347v1"
"creinhardtii_eg_gene","Chlamydomonas reinhardtii genes (Chlamydomonas_reinhardtii_v5.5)","Chlamydomonas_reinhardtii_v5.5"
"csativa_eg_gene","Camelina sativa genes (Cs)","Cs"
"csativus_eg_gene","Cucumis sativus genes (ASM407v2)","ASM407v2"
"csfemale_eg_gene","Cannabis sativa female genes (cs10)","cs10"
"dcarota_eg_gene","Daucus carota genes (ASM162521v1)","ASM162521v1"
"drotundata_eg_gene","Dioscorea rotundata genes (TDr96_F1_v2_PseudoChromosome)","TDr96_F1_v2_PseudoChromosome"
"ecurvula_eg_gene","Eragrostis curvula genes (CERZOS_E.curvula1.0)","CERZOS_E.curvula1.0"
"egrandis_eg_gene","Eucalyptus grandis genes (Egrandis1_0)","Egrandis1_0"
"esalsugineum_eg_gene","Eutrema salsugineum genes (Eutsalg1_0)","Eutsalg1_0"
"etef_eg_gene","Eragrostis tef genes (ASM97063v1)","ASM97063v1"
"fcarica_eg_gene","Ficus carica genes (UNIPI_FiCari_1.0)","UNIPI_FiCari_1.0"
"gmax_eg_gene","Glycine max genes (Glycine_max_v2.1)","Glycine_max_v2.1"
"graimondii_eg_gene","Gossypium raimondii genes (Graimondii2_0_v6)","Graimondii2_0_v6"
"gsulphuraria_eg_gene","Galdieria sulphuraria genes (ASM34128v1)","ASM34128v1"
