"dataset","description","version"
"alaibachii_eg_gene","Albugo laibachii genes (ENA 1)","ENA 1"
"bnatans_eg_gene","Bigelowiella natans genes (Bigna1)","Bigna1"
"ddiscoideum_eg_gene","Dictyostelium discoideum genes (dicty_2.7)","dicty_2.7"
"ehistolytica_eg_gene","Entamoeba histolytica genes (JCVI-ESG2-1.0)","JCVI-ESG2-1.0"
"ehuxleyi_eg_gene","Emiliania huxleyi genes (Emiliana huxleyi CCMP1516 main genome assembly v1.0)","Emiliana huxleyi CCMP1516 main genome assembly v1.0"
"glamblia_eg_gene","Giardia lamblia genes (GL2)","GL2"
"gtheta_eg_gene","Guillardia theta CCMP2712 genes (Guith1)","Guith1"
"harabidopsidis_eg_gene","Hyaloperonospora arabidopsidis genes (GCA000173235v2)","GCA000173235v2"
"lmajor_eg_gene","Leishmania major genes (ASM272v2)","ASM272v2"
"paphanidermatum_eg_gene","Pythium aphanidermatum genes (pag1_scaffolds_v1)","pag1_scaffolds_v1"
"parrhenomanes_eg_gene","Pythium arrhenomanes genes (par_scaffolds_v1)","par_scaffolds_v1"
"pberghei_eg_gene","Plasmodium berghei genes (PBANKA01)","PBANKA01"
"pchabaudi_eg_gene","Plasmodium chabaudi genes (PCHAS01)","PCHAS01"
"pfalciparum_eg_gene","Plasmodium falciparum 3D7 genes (ASM276v2)","ASM276v2"
"pinfestans_eg_gene","Phytophthora infestans genes (ASM14294v1)","ASM14294v1"
"pirregulare_eg_gene","Pythium irregulare genes (pir_scaffolds_v1)","pir_scaffolds_v1"
"piwayamai_eg_gene","Pythium iwayamai genes (piw_scaffolds_v1)","piw_scaffolds_v1"
"pkernoviae_eg_gene","Phytophthora kernoviae genes (PhyKer238/432v1)","PhyKer238/432v1"
"pknowlesi_eg_gene","Plasmodium knowlesi genes (ASM635v1)","ASM635v1"
"plateralis_eg_gene","Phytophthora lateralis genes (MPF4_v1.0)","MPF4_v1.0"
"pmultistriata_eg_gene","Pseudo-nitzschia multistriata genes (ASM90066040v1)","ASM90066040v1"
"pparasitica_eg_gene","Phytophthora parasitica genes (Phyt_para_P1569_V1)","Phyt_para_P1569_V1"
"pramorum_eg_gene","Phytophthora ramorum genes (ASM14973v1)","ASM14973v1"
"psojae_eg_gene","Phytophthora sojae genes (P.sojae V3.0)","P.sojae V3.0"
"ptetraurelia_eg_gene","Paramecium tetraurelia genes (ASM16542v1)","ASM16542v1"
"ptricornutum_eg_gene","Phaeodactylum tricornutum genes (ASM15095v2)","ASM15095v2"
"pultimum_eg_gene","Pythium ultimum genes (pug)","pug"
"pvexans_eg_gene","Pythium vexans genes (pve_scaffolds_v1)","pve_scaffolds_v1"
"pvivax_eg_gene","Plasmodium vivax genes (ASM241v2)","ASM241v2"
"tbrucei_eg_gene","Trypanosoma brucei genes (TryBru_Apr2005_chr11)","TryBru_Apr2005_chr11"
"tgondii_eg_gene","Toxoplasma gondii ME49 genes (TGA4)","TGA4"
"tpseudonana_eg_gene","Thalassiosira pseudonana genes (ASM14940v2)","ASM14940v2"
"tthermophila_eg_gene","Tetrahymena thermophila genes (JCVI-TTA1-2.2)","JCVI-TTA1-2.2"
